task_id,task_title,task_type,project,sprint_id,sprint_name,squad,team,assignee,reporter,priority,status,story_points,estimated_hours,labels,environment,created_at,started_at,completed_at,sprint_start_date,sprint_end_date,updated_at
TASK-00011,IMPROVE ERROR HANDLING,Story,Mobile App,SPR-2025-07,Sprint 7,CX,Product,Taylor Brown,Avery Lewis,high,Blocked,8,40,ETL,DEV,2025-03-30,2025-03-31,,2025-03-26,2025-04-08,2025-04-06 00:00:00
TASK-00012,Review Access Permissions,Technical Debt,Backoffice,SPR-2025-19,Sprint 19,Growth,Product,Taylor Brown,Drew Walker,High,Done,13,8,"data, genai, SECURITY",UAT,2025-09-19,2025-09-19,2025-09-29,2025-09-10,2025-09-23,2025-09-23 00:00:00
TASK-00013,Checkout Button Not Responding,Bug,Identity Service,SPR-2025-12,Sprint 12,CX,Engineering,Sam Wilson,Robin Clark,Low,Done,8,24,Data,QA,2025-06-05,2025-06-06,2025-06-15,2025-06-04,2025-06-17,2025-06-15 00:00:00
TASK-00014,Fix API Response Validation,Spike,Backoffice,SPR-2025-07,Sprint 7,Growth,Product,Jane Doe,Jamie White,HIGH,Done,3,24,genai,DEV,2025-04-05,2025-04-07,2025-04-08,2025-03-26,2025-04-08,2025-04-16 00:00:00
TASK-00015,User Session Timeout,Story,Customer Portal,SPR-2025-19,Sprint 19,Core,Product,Alex Smith,Robin Clark,Medium,DONE,13,40,"performance, api",PROD,2025-09-18,2025-09-19,2025-09-25,2025-09-10,2025-09-23,2025-09-25 00:00:00
TASK-00016,Fix ETL Pipeline Failure,Technical Debt,Marketplace,SPR-2025-09,Sprint 9,Marketplace,Architecture,Chris Lee,Morgan Davis,Critical,DONE,2,24,"data, backend",DEV,2025-04-25,2025-04-25,2025-05-03,2025-04-23,2025-05-06,2025-05-03 00:00:00
TASK-00017,Broken Navigation Menu,Technical Debt,Identity Service,SPR-2025-06,Sprint 6,Marketplace,Engineering,Chris Lee,Avery Lewis,High,To Do,8,16,UX,DEV,2025-03-21,2025-03-23,,2025-03-12,2025-03-25,2025-03-31 00:00:00
TASK-00018,Add Audit Logging,Spike,Backoffice,SPR-2025-20,Sprint 20,Growth,Analytics,Sam Wilson,Jamie White,High,Done,2,12,performance,PROD,2025-09-29,2025-09-29,2025-10-04,2025-09-24,2025-10-07,2025-10-09 00:00:00
TASK-00019,Create Usage Dashboard,Story,Customer Portal,SPR-2025-15,Sprint 15,Growth,Product,Taylor Brown,Avery Lewis,High,Done,13,2,data,DEV,2025-07-23,2025-07-26,2025-08-07,2025-07-16,2025-07-29,2025-08-06 00:00:00
TASK-00020,fix etl pipeline failure,Story,Marketplace,SPR-2025-14,Sprint 14,Marketplace,Architecture,Chris Lee,Avery Lewis,Low,Done,1,4,"etl, genai, Frontend",PROD,2025-07-12,2025-07-13,2025-07-20,2025-07-02,2025-07-15,2025-07-26 00:00:00
TASK-00021,Optimize Database Query,Story,Customer Portal,SPR-2025-06,Sprint 6,Core,Engineering,Taylor Brown,Morgan Davis,Critical,Testing,3,24,"security, PERFORMANCE",PROD,2025-03-19,2025-03-22,,2025-03-12,2025-03-25,2025-04-01 00:00:00
TASK-00022,Improve Mobile Responsiveness,Technical Debt,Customer Portal,SPR-2025-11,Sprint 11,Core,Engineering,Sam Wilson,Avery Lewis,Low,Done,8,2,"ux, performance",PROD,2025-05-29,2025-06-01,2025-06-08,2025-05-21,2025-06-03,2025-05-29 00:00:00
TASK-00023,Update API Documentation,Spike,Data Platform,SPR-2025-13,Sprint 13,Platform,Operations,Sam Wilson,Avery Lewis,Critical,Done,13 pts,24,"api, frontend",UAT,2025-06-23,2025-06-26,2025-06-29,2025-06-18,2025-07-01,2025-06-25 00:00:00
TASK-00024,Fix API Response Validation,Bug,Backoffice,SPR-2025-16,Sprint 16,Data,Operations,Sam Wilson,Robin Clark,Low,Blocked,2,2,api,QA,2025-07-30,2025-07-30,,2025-07-30,2025-08-12,2025-08-02 00:00:00
TASK-00025,Improve Mobile Responsiveness,Bug,Data Platform,SPR-2025-06,Sprint 6,CX,Operations,Chris Lee,Morgan Davis,medium,Done,13,4,"performance, backend",UAT,2025-03-16,2025-03-16,2025-03-26,2025-03-12,2025-03-25,2025-03-16 00:00:00
TASK-00026,Update Documentation,Spike,Customer Portal,SPR-2025-14,Sprint 14,Core,Architecture,Jordan Miller,Robin Clark,High,Done,8,12,"performance, data, SECURITY",DEV,2025-07-09,2025-07-09,2025-07-17,2025-07-02,2025-07-15,2025-07-24 00:00:00
TASK-00027,Refactor Notification Service,Spike,Marketplace,SPR-2025-11,Sprint 11,Growth,Product,Sam Wilson,Jamie White,High,In Progress,8,2,"genai, etl",PROD,2025-05-23,2025-05-26,,2025-05-21,2025-06-03,2025-05-30 00:00:00
TASK-00028,Improve Error Handling,Story,Customer Portal,SPR-2025-10,Sprint 10,Data,Operations,Sam Wilson,Drew Walker,Critical,Done,3,24,etl,UAT,2025-05-17,2025-05-19,2025-05-26,2025-05-07,2025-05-20,2025-05-20 00:00:00
TASK-00029,improve error handling,Spike,Data Platform,SPR-2025-07,Sprint 7,Data,Product,Sam Wilson,Avery Lewis,Low,Done,8,4,"backend, frontend",DEV,2025-03-30,2025-03-31,2025-04-12,2025-03-26,2025-04-08,2025-04-01 00:00:00
TASK-00030,Update Documentation,Spike,Data Platform,SPR-2025-13,Sprint 13,CX,Architecture,John Doe,Drew Walker,high,Done,2,40,"performance, mobile, ux",DEV,2025-06-25,2025-06-25,2025-06-28,2025-06-18,2025-07-01,2025-07-01 00:00:00
TASK-00031,IMPROVE ERROR HANDLING,Task,Identity Service,SPR-2025-21,Sprint 21,CX,Engineering,Jordan Miller,Morgan Davis,Low,Done,13,8h,"DATA, genai",QA,2025-10-11,2025-10-13,2025-10-16,2025-10-08,2025-10-21,2025-10-15 00:00:00
TASK-00032,Update API Documentation,Bug,Marketplace,SPR-2025-09,Sprint 9,Marketplace,Analytics,Sam Wilson,Morgan Davis,High,To Do,5,24,"etl, PERFORMANCE",DEV,2025-04-25,2025-04-25,,2025-04-23,2025-05-06,2025-05-02 00:00:00
TASK-00033,Optimize Database Query,Bug,Customer Portal,SPR-2025-22,Sprint 22,Platform,Operations,Casey Johnson,Robin Clark,Medium,Blocked,13,8,"ux, genai, backend",PROD,2025-10-31,2025-10-31,,2025-10-22,2025-11-04,2025-11-01 00:00:00
TASK-00034,Improve Mobile Responsiveness,Story,Data Platform,SPR-2025-15,Sprint 15,CX,Engineering,Sam Wilson,Avery Lewis,Low,Testing,8,2,"performance, genai",PROD,2025-07-17,2025-07-19,,2025-07-16,2025-07-29,2025-07-20 00:00:00
TASK-00035,Improve Error Handling,Task,Backoffice,SPR-2025-01,Sprint 1,Marketplace,Analytics,Jordan Miller,Avery Lewis,Medium,Done,1,2,genai,PROD,2025-01-11,2025-01-12,2025-01-13,2025-01-01,2025-01-14,2025-01-18 00:00:00
TASK-00036,Update Documentation,Technical Debt,Backoffice,SPR-2025-15,Sprint 15,Marketplace,Operations,Alex Smith,Avery Lewis,High,Done,5,40,data,PROD,2025-07-24,2025-07-25,2025-08-03,2025-07-16,2025-07-29,2025-08-04 00:00:00
TASK-00037,Fix ETL Pipeline Failure,Technical Debt,Backoffice,SPR-2025-11,Sprint 11,Platform,Product,Casey Johnson,Morgan Davis,Medium,Done,5 pts,24,"ux, API",PROD,2025-05-29,2025-06-01,2025-06-05,2025-05-21,2025-06-03,2025-05-29 00:00:00
TASK-00038,Fix User Profile Update,Technical Debt,Mobile App,SPR-2025-24,Sprint 24,CX,Product,Taylor Brown,Robin Clark,High,Done,13,2,"etl, ux, security",QA,2025-11-21,2025-11-24,2025-11-26,2025-11-19,2025-12-02,2025-11-23 00:00:00
TASK-00039,User Session Timeout,Story,Marketplace,SPR-2025-14,Sprint 14,CX,Engineering,Taylor Brown,Avery Lewis,Low,Done,3,4,"API, performance, etl",UAT,2025-07-03,2025-07-03,2025-07-04,2025-07-02,2025-07-15,2025-07-17 00:00:00
TASK-00040,improve error handling,Bug,Customer Portal,SPR-2025-09,Sprint 9,Core,Architecture,Chris Lee,Drew Walker,Critical,Done,8,12,"data, mobile",UAT,2025-05-03,2025-05-03,2025-05-08,2025-04-23,2025-05-06,2025-05-12 00:00:00
TASK-00041,User Session Timeout,Story,Identity Service,SPR-2025-01,Sprint 1,Growth,Product,Sam Wilson,Avery Lewis,Critical,Testing,3,4,"mobile, performance",DEV,2025-01-11,2025-01-14,,2025-01-01,2025-01-14,2025-01-22 00:00:00
TASK-00042,Add Audit Logging,Bug,Marketplace,SPR-2025-24,Sprint 24,Growth,Engineering,Taylor Brown,Avery Lewis,Medium,Blocked,3,8,"genai, data",UAT,2025-11-21,2025-11-21,,2025-11-19,2025-12-02,2025-11-23 00:00:00
TASK-00043,Optimize Database Query,Spike,Mobile App,SPR-2025-13,Sprint 13,Data,Product,John Doe,Robin Clark,High,Done,2,16,"security, mobile, backend",PROD,2025-06-18,2025-06-20,2025-07-01,2025-06-18,2025-07-01,2025-06-21 00:00:00
TASK-00044,Improve Error Handling,Story,Data Platform,SPR-2025-04,Sprint 4,Growth,Analytics,Chris Lee,Morgan Davis,Medium,Done,13 pts,12,"frontend, security",PROD,2025-02-15,2025-02-16,2025-02-28,2025-02-12,2025-02-25,2025-02-23 00:00:00
TASK-00045,Update API Documentation,Story,Customer Portal,SPR-2025-07,Sprint 7,Platform,Engineering,John Doe,Robin Clark,Low,To Do,2,40,etl,QA,2025-03-27,2025-03-30,,2025-03-26,2025-04-08,2025-03-31 00:00:00
TASK-00046,UPDATE DOCUMENTATION,Task,Backoffice,SPR-2025-18,Sprint 18,CX,Product,Casey Johnson,Drew Walker,Medium,In Progress,1,2,"etl, backend",QA,2025-08-31,2025-09-01,,2025-08-27,2025-09-09,2025-09-01 00:00:00
TASK-00047,Fix User Profile Update,Bug,Customer Portal,SPR-2025-24,Sprint 24,Platform,Architecture,Chris Lee,Avery Lewis,Critical,Done,5,12h,security,UAT,2025-11-29,2025-12-01,2025-12-02,2025-11-19,2025-12-02,2025-12-13 00:00:00
TASK-00048,Improve Error Handling,Task,Customer Portal,SPR-2025-17,Sprint 17,Marketplace,Operations,Jane Doe,Morgan Davis,Medium,To Do,2,40,"backend, security",DEV,2025-08-22,2025-08-25,,2025-08-13,2025-08-26,2025-08-24 00:00:00
TASK-00049,Improve Error Handling,Spike,Customer Portal,SPR-2025-14,Sprint 14,Growth,Analytics,Chris Lee,Morgan Davis,Low,Done,13,12,"frontend, data, etl",UAT,2025-07-03,2025-07-05,2025-07-15,2025-07-02,2025-07-15,2025-07-10 00:00:00
TASK-00050,OPTIMIZE DATABASE QUERY,Bug,Customer Portal,SPR-2025-14,Sprint 14,Marketplace,Product,Jane Doe,Drew Walker,High,Done,3,8h,performance,QA,2025-07-10,2025-07-10,2025-07-22,2025-07-02,2025-07-15,2025-07-22 00:00:00
TASK-00051,Refactor Notification Service,Spike,Marketplace,SPR-2025-14,Sprint 14,CX,Operations,Jordan Miller,Robin Clark,Low,In Progress,2,16h,data,QA,2025-07-09,2025-07-11,,2025-07-02,2025-07-15,2025-07-12 00:00:00
TASK-00052,Fix User Profile Update,Bug,Mobile App,SPR-2025-12,Sprint 12,Core,Operations,Alex Smith,Jamie White,HIGH,Testing,5,2h,"mobile, api",PROD,2025-06-10,2025-06-10,,2025-06-04,2025-06-17,2025-06-17 00:00:00
TASK-00053,User Session Timeout,Technical Debt,Marketplace,SPR-2025-17,Sprint 17,Marketplace,Analytics,Jane Doe,Avery Lewis,Critical,To Do,3,16,"ux, data, Backend",DEV,2025-08-21,2025-08-23,,2025-08-13,2025-08-26,2025-08-28 00:00:00
TASK-00054,Refactor Notification Service,Story,Customer Portal,SPR-2025-14,Sprint 14,CX,Engineering,Jane Doe,Jamie White,medium,Done,13,16,"security, Api",PROD,2025-07-11,2025-07-14,2025-07-19,2025-07-02,2025-07-15,2025-07-25 00:00:00
TASK-00055,Update API Documentation,Spike,Marketplace,SPR-2025-19,Sprint 19,Growth,Product,Chris Lee,Robin Clark,High,Done,1,24,"performance, FRONTEND",DEV,2025-09-19,2025-09-22,2025-10-03,2025-09-10,2025-09-23,2025-09-21 00:00:00
TASK-00056,User Session Timeout,Spike,Marketplace,SPR-2025-20,Sprint 20,CX,Architecture,Alex Smith,Robin Clark,Medium,Done,5,2,"backend, ETL",UAT,2025-10-03,2025-10-06,2025-10-18,2025-09-24,2025-10-07,2025-10-12 00:00:00
TASK-00057,REFACTOR NOTIFICATION SERVICE,Spike,Customer Portal,SPR-2025-13,Sprint 13,CX,Product,Sam Wilson,Drew Walker,Low,done,5,24,"api, Security, backend",PROD,2025-06-24,2025-06-26,2025-07-07,2025-06-18,2025-07-01,2025-07-04 00:00:00
TASK-00058,Login Error,Bug,Backoffice,SPR-2025-05,Sprint 5,CX,Architecture,John Doe,Robin Clark,Medium,Done,3,12,API,QA,2025-03-08,2025-03-08,2025-03-14,2025-02-26,2025-03-11,2025-03-20 00:00:00
TASK-00059,DATA SYNC FAILURE,Story,Data Platform,SPR-2025-05,Sprint 5,Marketplace,Architecture,Casey Johnson,Avery Lewis,High,Done,2,16,"genai, mobile, etl",UAT,2025-02-28,2025-03-01,2025-03-04,2025-02-26,2025-03-11,2025-03-12 00:00:00
TASK-00060,update api documentation,Technical Debt,Customer Portal,SPR-2025-17,Sprint 17,Core,Product,Taylor Brown,Avery Lewis,high,Blocked,5,16,"ETL, Backend, data",UAT,2025-08-21,2025-08-24,,2025-08-13,2025-08-26,2025-08-21 00:00:00
TASK-00061,Broken Navigation Menu,Spike,Identity Service,SPR-2025-14,Sprint 14,Data,Operations,Casey Johnson,Drew Walker,High,Done,13,40,data,DEV,2025-07-02,2025-07-05,2025-07-07,2025-07-02,2025-07-15,2025-07-04 00:00:00
TASK-00062,Update API Documentation,Bug,Identity Service,SPR-2025-01,Sprint 1,CX,Architecture,Taylor Brown,Jamie White,Low,Done,2,2,"Performance, genai, backend",UAT,2025-01-05,2025-01-06,2025-01-18,2025-01-01,2025-01-14,2025-01-18 00:00:00
TASK-00063,Fix API Response Validation,Bug,Data Platform,SPR-2025-01,Sprint 1,Growth,Analytics,Taylor Brown,Morgan Davis,high,In Progress,8,40,"FRONTEND, ux, genai",UAT,2025-01-10,2025-01-12,,2025-01-01,2025-01-14,2025-01-14 00:00:00
TASK-00064,Data Sync Failure,Story,Mobile App,SPR-2025-02,Sprint 2,Platform,Analytics,Jordan Miller,Drew Walker,Critical,Done,2 pts,40,data,PROD,2025-01-20,2025-01-22,2025-02-02,2025-01-15,2025-01-28,2025-01-28 00:00:00
TASK-00065,User Session Timeout,Technical Debt,Data Platform,SPR-2025-02,Sprint 2,Growth,Operations,Jane Doe,Avery Lewis,High,Testing,3,12,"security, api",QA,2025-01-25,2025-01-26,,2025-01-15,2025-01-28,2025-02-03 00:00:00
TASK-00066,Data Sync Failure,Bug,Mobile App,SPR-2025-11,Sprint 11,Marketplace,Operations,Chris Lee,Drew Walker,Critical,Testing,5,2,"performance, ux",QA,2025-05-22,2025-05-22,,2025-05-21,2025-06-03,2025-05-22 00:00:00
TASK-00067,Broken Navigation Menu,Task,Marketplace,SPR-2025-05,Sprint 5,Platform,Analytics,Taylor Brown,Morgan Davis,Low,to do,13,8,Performance,DEV,2025-03-07,2025-03-10,,2025-02-26,2025-03-11,2025-03-12 00:00:00
TASK-00068,Optimize Database Query,Spike,Mobile App,SPR-2025-16,Sprint 16,Marketplace,Analytics,Chris Lee,Morgan Davis,Medium,Blocked,3,12,backend,UAT,2025-08-07,2025-08-10,,2025-07-30,2025-08-12,2025-08-16 00:00:00
TASK-00069,Implement MFA Authentication,Technical Debt,Marketplace,SPR-2025-06,Sprint 6,Core,Architecture,Jane Doe,Jamie White,Medium,Done,1,16,"api, backend, etl",UAT,2025-03-22,2025-03-23,2025-03-25,2025-03-12,2025-03-25,2025-03-24 00:00:00
TASK-00070,Improve Error Handling,Story,Customer Portal,SPR-2025-15,Sprint 15,Platform,Engineering,Chris Lee,Drew Walker,Medium,In Progress,2,40h,Etl,UAT,2025-07-23,2025-07-25,,2025-07-16,2025-07-29,2025-07-25 00:00:00
TASK-00071,improve error handling,Task,Identity Service,SPR-2025-09,Sprint 9,Data,Architecture,Jordan Miller,Drew Walker,Medium,In Progress,8,24,"SECURITY, frontend, etl",DEV,2025-04-26,2025-04-28,,2025-04-23,2025-05-06,2025-05-11 00:00:00
TASK-00072,Improve Mobile Responsiveness,Task,Marketplace,SPR-2025-21,Sprint 21,Data,Analytics,Jane Doe,Robin Clark,Low,Done,2,12,"performance, api",QA,2025-10-16,2025-10-18,2025-10-22,2025-10-08,2025-10-21,2025-10-30 00:00:00
TASK-00073,Checkout Button Not Responding,Technical Debt,Marketplace,SPR-2025-04,Sprint 4,Core,Analytics,Casey Johnson,Morgan Davis,Critical,in progress,2,16,api,DEV,2025-02-16,2025-02-19,,2025-02-12,2025-02-25,2025-02-28 00:00:00
TASK-00074,User Session Timeout,Technical Debt,Backoffice,SPR-2025-17,Sprint 17,Data,Analytics,Sam Wilson,Morgan Davis,Critical,In Progress,1,12,"security, ux",PROD,2025-08-20,2025-08-21,,2025-08-13,2025-08-26,2025-09-03 00:00:00
TASK-00075,Broken Navigation Menu,Task,Marketplace,SPR-2025-18,Sprint 18,CX,Operations,Alex Smith,Drew Walker,High,in progress,3,4,"ETL, Frontend",QA,2025-08-31,2025-08-31,,2025-08-27,2025-09-09,2025-09-10 00:00:00
TASK-00076,Review Access Permissions,Bug,Backoffice,SPR-2025-20,Sprint 20,Core,Analytics,Taylor Brown,Morgan Davis,Critical,Done,3,2,"backend, ux, data",PROD,2025-09-29,2025-09-30,2025-10-05,2025-09-24,2025-10-07,2025-10-04 00:00:00
TASK-00077,User Session Timeout,Technical Debt,Marketplace,SPR-2025-17,Sprint 17,Marketplace,Product,Alex Smith,Drew Walker,Low,In Progress,5,4,ux,QA,2025-08-23,2025-08-26,,2025-08-13,2025-08-26,2025-09-02 00:00:00
TASK-00078,Improve Error Handling,Task,Data Platform,SPR-2025-22,Sprint 22,Marketplace,Engineering,Casey Johnson,Robin Clark,High,Testing,13,40,"genai, mobile, etl",PROD,2025-10-29,2025-11-01,,2025-10-22,2025-11-04,2025-11-09 00:00:00
TASK-00079,Improve Mobile Responsiveness,Task,Identity Service,SPR-2025-18,Sprint 18,Core,Engineering,Taylor Brown,Drew Walker,Critical,In Progress,2,8,security,UAT,2025-08-31,2025-09-02,,2025-08-27,2025-09-09,2025-09-08 00:00:00
TASK-00080,Create Monitoring Alerts,Story,Marketplace,SPR-2025-05,Sprint 5,Marketplace,Operations,Casey Johnson,Jamie White,medium,In Progress,5,12,frontend,UAT,2025-02-27,2025-02-28,,2025-02-26,2025-03-11,2025-03-09 00:00:00
TASK-00081,Review Access Permissions,Story,Identity Service,SPR-2025-10,Sprint 10,Platform,Product,John Doe,Robin Clark,Low,blocked,2,40,ux,DEV,2025-05-17,2025-05-17,,2025-05-07,2025-05-20,2025-05-27 00:00:00
TASK-00082,Data Sync Failure,Technical Debt,Identity Service,SPR-2025-10,Sprint 10,Data,Engineering,Jordan Miller,Avery Lewis,Low,Done,13,8,security,UAT,2025-05-14,2025-05-17,2025-05-26,2025-05-07,2025-05-20,2025-05-16 00:00:00
TASK-00083,Refactor Notification Service,Story,Mobile App,SPR-2025-13,Sprint 13,Marketplace,Product,Casey Johnson,Robin Clark,Low,In Progress,2,8,"performance, frontend",QA,2025-06-28,2025-06-28,,2025-06-18,2025-07-01,2025-07-10 00:00:00
TASK-00084,Broken Navigation Menu,Story,Customer Portal,SPR-2025-22,Sprint 22,Marketplace,Architecture,Jane Doe,Drew Walker,Medium,Done,5,24,"ux, etl",PROD,2025-10-30,2025-11-01,2025-11-06,2025-10-22,2025-11-04,2025-11-10 00:00:00
TASK-00085,Create Monitoring Alerts,Spike,Backoffice,SPR-2025-03,Sprint 3,Growth,Architecture,Casey Johnson,Robin Clark,Medium,To Do,8,24,"genai, backend, performance",DEV,2025-02-07,2025-02-07,,2025-01-29,2025-02-11,2025-02-19 00:00:00
TASK-00086,Fix API Response Validation,Spike,Data Platform,SPR-2025-09,Sprint 9,Core,Operations,Jordan Miller,Avery Lewis,Low,DONE,1,12h,"api, performance",DEV,2025-04-23,2025-04-24,2025-04-30,2025-04-23,2025-05-06,2025-04-27 00:00:00
TASK-00087,create monitoring alerts,Task,Customer Portal,SPR-2025-21,Sprint 21,Marketplace,Product,John Doe,Avery Lewis,Medium,In Progress,1,12,"ux, etl, performance",DEV,2025-10-13,2025-10-13,,2025-10-08,2025-10-21,2025-10-20 00:00:00
TASK-00088,User Session Timeout,Task,Customer Portal,SPR-2025-07,Sprint 7,Marketplace,Architecture,Chris Lee,Drew Walker,Low,Done,2,40,api,UAT,2025-03-27,2025-03-27,2025-04-07,2025-03-26,2025-04-08,2025-04-03 00:00:00
TASK-00089,Review Access Permissions,Story,Backoffice,SPR-2025-10,Sprint 10,Core,Engineering,Taylor Brown,Robin Clark,Medium,Done,5,2,"ux, etl, security",QA,2025-05-09,2025-05-10,2025-05-19,2025-05-07,2025-05-20,2025-05-23 00:00:00
TASK-00090,Update Documentation,Story,Mobile App,SPR-2025-02,Sprint 2,Platform,Operations,John Doe,Morgan Davis,High,Blocked,13 pts,12,etl,QA,2025-01-23,2025-01-26,,2025-01-15,2025-01-28,2025-01-29 00:00:00
TASK-00091,Implement MFA Authentication,Technical Debt,Data Platform,SPR-2025-16,Sprint 16,Platform,Operations,Casey Johnson,Drew Walker,Low,Testing,5,24,ux,UAT,2025-08-02,2025-08-04,,2025-07-30,2025-08-12,2025-08-11 00:00:00
TASK-00092,Fix User Profile Update,Technical Debt,Backoffice,SPR-2025-09,Sprint 9,CX,Operations,Sam Wilson,Jamie White,High,Done,3,2,API,QA,2025-04-28,2025-05-01,2025-05-13,2025-04-23,2025-05-06,2025-05-08 00:00:00
TASK-00093,Refactor Notification Service,Technical Debt,Identity Service,SPR-2025-08,Sprint 8,Growth,Architecture,John Doe,Morgan Davis,Critical,Done,13,12,"api, performance",DEV,2025-04-15,2025-04-16,2025-04-27,2025-04-09,2025-04-22,2025-04-15 00:00:00
TASK-00094,Implement MFA Authentication,Task,Backoffice,SPR-2025-14,Sprint 14,Platform,Product,Jordan Miller,Jamie White,high,To Do,13,16,"genai, frontend, ETL",DEV,2025-07-04,2025-07-05,,2025-07-02,2025-07-15,2025-07-07 00:00:00
TASK-00095,Broken Navigation Menu,Bug,Identity Service,SPR-2025-17,Sprint 17,Marketplace,Product,Jane Doe,Avery Lewis,critical,In Progress,5,4,data,PROD,2025-08-15,2025-08-16,,2025-08-13,2025-08-26,2025-08-27 00:00:00
TASK-00096,Fix User Profile Update,Technical Debt,Backoffice,SPR-2025-18,Sprint 18,Marketplace,Product,Alex Smith,Robin Clark,High,Done,1,2,"PERFORMANCE, GENAI, data",DEV,2025-09-03,2025-09-03,2025-09-05,2025-08-27,2025-09-09,2025-09-09 00:00:00
TASK-00097,Review Access Permissions,Task,Backoffice,SPR-2025-19,Sprint 19,CX,Architecture,Jordan Miller,Robin Clark,Critical,Blocked,8,40,"BACKEND, etl, security",DEV,2025-09-12,2025-09-15,,2025-09-10,2025-09-23,2025-09-20 00:00:00
TASK-00098,Create Usage Dashboard,Story,Identity Service,SPR-2025-15,Sprint 15,Core,Analytics,Chris Lee,Morgan Davis,critical,Done,8,4,Data,DEV,2025-07-23,2025-07-24,2025-07-31,2025-07-16,2025-07-29,2025-07-23 00:00:00
TASK-00099,Create Usage Dashboard,Bug,Identity Service,SPR-2025-10,Sprint 10,CX,Engineering,Alex Smith,Avery Lewis,Critical,Done,1,2,"ux, frontend",QA,2025-05-14,2025-05-16,2025-05-18,2025-05-07,2025-05-20,2025-05-18 00:00:00
TASK-00100,Optimize Database Query,Bug,Marketplace,SPR-2025-09,Sprint 9,Platform,Architecture,Jordan Miller,Robin Clark,Critical,done,3,4,"performance, Mobile",PROD,2025-04-27,2025-04-29,2025-05-06,2025-04-23,2025-05-06,2025-05-07 00:00:00
TASK-00101,Implement MFA Authentication,Technical Debt,Customer Portal,SPR-2025-14,Sprint 14,CX,Architecture,Alex Smith,Drew Walker,Medium,Testing,3,24,"mobile, security, ux",DEV,2025-07-12,2025-07-13,,2025-07-02,2025-07-15,2025-07-26 00:00:00
TASK-00102,Add Audit Logging,Spike,Backoffice,SPR-2025-23,Sprint 23,CX,Operations,John Doe,Robin Clark,Medium,Done,2,4,"backend, genai",DEV,2025-11-08,2025-11-11,2025-11-13,2025-11-05,2025-11-18,2025-11-11 00:00:00
TASK-00103,Review Access Permissions,Technical Debt,Backoffice,SPR-2025-08,Sprint 8,CX,Architecture,Taylor Brown,Avery Lewis,Critical,In Progress,3,12,data,UAT,2025-04-19,2025-04-21,,2025-04-09,2025-04-22,2025-05-01 00:00:00
