study_date,content_type,title,category,platform,minutes,progress,status,rating
2026-02-17,Curso,IA Generativa,Machine Learning/AI,Udemy,111,62,Concluído,4.0
2026-02-18,Podcast/Vídeo,PythonCast,Python,Spotify,21,51,Em andamento,
2026-02-19,Curso,Power BI Completo,BI,Youtube,98,50,Em andamento,
2026-02-20,Livro,Hands-On ML,Machine Learning/AI,Livro Físico,44,88,Em andamento,
2026-02-22,Podcast/Vídeo,AI News,Machine Learning/AI,Spotify,19,63,Em andamento,
2026-02-23,Podcast/Vídeo,PM Podcast,Gestão de Projetos ou Produtos,Spotify,97,44,Em andamento,
2026-02-24,Podcast/Vídeo,PM Podcast,Gestão de Projetos ou Produtos,Spotify,44,73,Concluído,5.0
2026-02-26,Curso,IA Generativa,Machine Learning/AI,Udemy,111,26,Em andamento,
2026-02-26,Curso,SQL Avançado,SQL,Coursera,61,29,Em andamento,
2026-02-27,Livro,Inspired,Gestão de Projetos ou Produtos,Livro Físico,72,53,Em andamento,
2026-02-27,Livro,Dashboard Design,BI,Livro Físico,28,26,Em andamento,
2026-02-27,Podcast/Vídeo,PythonCast,Python,Youtube,118,95,Em andamento,
2026-02-28,Curso,SQL Avançado,SQL,Coursera,40,19,Em andamento,
2026-03-01,Curso,Comunicação,Soft Skills,Coursera,46,19,Em andamento,
2026-03-02,Curso,SQL Avançado,SQL,Youtube,117,13,Em andamento,
2026-03-04,Podcast/Vídeo,SQL Tips,SQL,Spotify,78,58,Em andamento,
2026-03-04,Podcast/Vídeo,PM Podcast,Gestão de Projetos ou Produtos,Youtube,114,78,Em andamento,
2026-03-04,Curso,ML Foundations,Machine Learning/AI,Youtube,91,13,Em andamento,
2026-03-05,Livro,Hands-On ML,Machine Learning/AI,Livro Digital,30,68,Em andamento,
2026-03-05,Podcast/Vídeo,Liderança na Prática,Soft Skills,Youtube,109,50,Em andamento,
2026-03-05,Livro,Inspired,Gestão de Projetos ou Produtos,Livro Físico,16,7,Concluído,
2026-03-06,Curso,ML Foundations,Machine Learning/AI,Youtube,29,55,Em andamento,
2026-03-07,Livro,Automatizando com Python,Python,Livro Digital,113,56,Em andamento,
2026-03-07,Podcast/Vídeo,AI News,Machine Learning/AI,Spotify,120,33,Em andamento,
2026-03-08,Livro,Dashboard Design,BI,Livro Digital,111,75,Concluído,3.0
2026-03-09,Podcast/Vídeo,AI News,Machine Learning/AI,Youtube,34,41,Em andamento,
2026-03-09,Livro,Storytelling com SQL,SQL,Livro Digital,22,69,Em andamento,
2026-03-09,Podcast/Vídeo,BI Talks,BI,Youtube,18,88,Em andamento,
2026-03-09,Curso,IA Generativa,Machine Learning/AI,Udemy,112,61,Em andamento,
2026-03-09,Livro,Inspired,Gestão de Projetos ou Produtos,Livro Físico,42,28,Em andamento,
2026-03-10,Podcast/Vídeo,SQL Tips,SQL,Youtube,55,76,Em andamento,
2026-03-11,Podcast/Vídeo,PythonCast,Python,Youtube,59,59,Concluído,5.0
2026-03-12,Podcast/Vídeo,PM Podcast,Gestão de Projetos ou Produtos,Youtube,62,62,Concluído,3.0
2026-03-12,Livro,Inspired,Gestão de Projetos ou Produtos,Livro Digital,40,23,Concluído,5.0
2026-03-13,Livro,Inspired,Gestão de Projetos ou Produtos,Livro Físico,46,10,Em andamento,
2026-03-14,Curso,SQL do Zero,SQL,Youtube,30,69,Em andamento,
2026-03-17,Curso,SQL do Zero,SQL,Coursera,115,58,Em andamento,
2026-03-18,Livro,Automatizando com Python,Python,Livro Digital,19,48,Em andamento,
2026-03-18,Curso,SQL Avançado,SQL,Coursera,27,25,Em andamento,
2026-03-18,Curso,IA Generativa,Machine Learning/AI,Udemy,68,92,Em andamento,
2026-03-18,Curso,Comunicação,Soft Skills,Udemy,55,80,Em andamento,
2026-03-19,Podcast/Vídeo,Liderança na Prática,Soft Skills,Spotify,29,13,Em andamento,
2026-03-20,Podcast/Vídeo,PM Podcast,Gestão de Projetos ou Produtos,Youtube,86,34,Em andamento,
2026-03-23,Livro,Dashboard Design,BI,Livro Físico,31,73,Em andamento,
2026-03-23,Curso,SQL Avançado,SQL,Youtube,52,33,Concluído,5.0
2026-03-24,Podcast/Vídeo,Liderança na Prática,Soft Skills,Youtube,108,48,Em andamento,
2026-03-26,Curso,SQL Avançado,SQL,Youtube,50,79,Em andamento,
2026-03-27,Curso,IA Generativa,Machine Learning/AI,Youtube,115,6,Em andamento,
2026-03-27,Curso,ML Foundations,Machine Learning/AI,Youtube,41,49,Em andamento,
2026-03-28,Livro,Storytelling com SQL,SQL,Livro Digital,117,31,Em andamento,
2026-03-28,Curso,Scrum Essentials,Gestão de Projetos ou Produtos,Coursera,43,77,Em andamento,
2026-03-29,Podcast/Vídeo,SQL Tips,SQL,Spotify,66,32,Concluído,5.0
2026-03-31,Livro,Hands-On ML,Machine Learning/AI,Livro Físico,59,41,Em andamento,
2026-04-01,Curso,Comunicação,Soft Skills,Youtube,58,83,Em andamento,
2026-04-03,Curso,ML Foundations,Machine Learning/AI,Youtube,41,71,Concluído,5.0
2026-04-04,Curso,Comunicação,Soft Skills,Udemy,57,59,Concluído,4.0
2026-04-04,Livro,Automatizando com Python,Python,Livro Digital,70,67,Em andamento,
2026-04-04,Curso,Scrum Essentials,Gestão de Projetos ou Produtos,Coursera,91,52,Em andamento,
2026-04-04,Curso,Python para Dados,Python,Udemy,100,80,Em andamento,
2026-04-06,Podcast/Vídeo,PM Podcast,Gestão de Projetos ou Produtos,Youtube,100,51,Em andamento,
2026-04-08,Livro,Comunicação Não Violenta,Soft Skills,Livro Físico,41,20,Concluído,
2026-04-08,Curso,Comunicação,Soft Skills,Youtube,29,53,Em andamento,
2026-04-09,Curso,Scrum Essentials,Gestão de Projetos ou Produtos,Youtube,53,93,Em andamento,
2026-04-10,Curso,ML Foundations,Machine Learning/AI,Udemy,115,91,Em andamento,
2026-04-11,Livro,Inspired,Gestão de Projetos ou Produtos,Livro Físico,117,81,Concluído,5.0
2026-04-13,Podcast/Vídeo,AI News,Machine Learning/AI,Youtube,85,12,Concluído,5.0
2026-04-17,Podcast/Vídeo,PM Podcast,Gestão de Projetos ou Produtos,Spotify,107,60,Concluído,5.0
2026-04-17,Podcast/Vídeo,PM Podcast,Gestão de Projetos ou Produtos,Youtube,52,72,Em andamento,
2026-04-18,Curso,IA Generativa,Machine Learning/AI,Coursera,45,82,Em andamento,
2026-04-21,Podcast/Vídeo,BI Talks,BI,Spotify,26,45,Em andamento,
2026-04-22,Podcast/Vídeo,Liderança na Prática,Soft Skills,Spotify,86,92,Em andamento,
2026-04-22,Podcast/Vídeo,AI News,Machine Learning/AI,Youtube,46,38,Em andamento,
2026-04-22,Livro,Dashboard Design,BI,Livro Físico,87,62,Em andamento,
2026-04-24,Livro,Dashboard Design,BI,Livro Digital,32,61,Concluído,
2026-04-26,Livro,Storytelling com SQL,SQL,Livro Físico,90,57,Em andamento,
2026-04-27,Podcast/Vídeo,AI News,Machine Learning/AI,Spotify,76,90,Em andamento,
2026-04-27,Podcast/Vídeo,AI News,Machine Learning/AI,Spotify,70,71,Em andamento,
2026-04-30,Livro,Dashboard Design,BI,Livro Físico,93,32,Em andamento,
2026-05-02,Curso,SQL Avançado,SQL,Udemy,109,47,Em andamento,
2026-05-02,Podcast/Vídeo,PythonCast,Python,Youtube,27,43,Em andamento,
2026-05-02,Curso,SQL do Zero,SQL,Udemy,85,30,Em andamento,
2026-05-02,Podcast/Vídeo,BI Talks,BI,Spotify,53,44,Em andamento,
2026-05-03,Curso,Scrum Essentials,Gestão de Projetos ou Produtos,Youtube,99,20,Em andamento,
2026-05-03,Podcast/Vídeo,PythonCast,Python,Youtube,106,98,Concluído,3.0
2026-05-04,Livro,Comunicação Não Violenta,Soft Skills,Livro Físico,57,95,Em andamento,
2026-05-08,Livro,Inspired,Gestão de Projetos ou Produtos,Livro Digital,111,37,Em andamento,
2026-05-10,Curso,Python para Dados,Python,Coursera,115,91,Em andamento,
2026-05-11,Curso,Power BI Completo,BI,Youtube,61,75,Em andamento,
2026-05-12,Livro,Comunicação Não Violenta,Soft Skills,Livro Digital,30,15,Em andamento,
2026-05-14,Podcast/Vídeo,Liderança na Prática,Soft Skills,Spotify,17,27,Em andamento,
2026-05-17,Podcast/Vídeo,SQL Tips,SQL,Youtube,40,89,Em andamento,
2026-05-17,Livro,Automatizando com Python,Python,Livro Digital,85,90,Concluído,4.0
2026-05-19,Livro,Automatizando com Python,Python,Livro Digital,62,67,Concluído,
2026-05-21,Podcast/Vídeo,SQL Tips,SQL,Youtube,16,32,Em andamento,
2026-05-22,Podcast/Vídeo,PM Podcast,Gestão de Projetos ou Produtos,Spotify,24,34,Concluído,4.0
2026-05-23,Podcast/Vídeo,Liderança na Prática,Soft Skills,Spotify,26,5,Em andamento,
2026-05-25,Livro,Automatizando com Python,Python,Livro Digital,22,38,Em andamento,
2026-05-25,Curso,Power BI Completo,BI,Coursera,83,24,Em andamento,
2026-05-26,Curso,Power BI Completo,BI,Coursera,66,31,Em andamento,
2026-05-26,Livro,Inspired,Gestão de Projetos ou Produtos,Livro Digital,31,6,Concluído,3.0
2026-05-28,Livro,Comunicação Não Violenta,Soft Skills,Livro Digital,81,30,Em andamento,
2026-05-28,Livro,Dashboard Design,BI,Livro Digital,82,28,Em andamento,
2026-05-28,Curso,Python para Dados,Python,Youtube,46,83,Em andamento,
2026-05-29,Livro,Storytelling com SQL,SQL,Livro Físico,20,80,Em andamento,
2026-05-29,Curso,Python para Dados,Python,Udemy,57,58,Em andamento,
2026-05-30,Podcast/Vídeo,Liderança na Prática,Soft Skills,Spotify,45,72,Em andamento,
2026-05-31,Livro,Inspired,Gestão de Projetos ou Produtos,Livro Físico,50,54,Em andamento,
2026-06-01,Podcast/Vídeo,BI Talks,BI,Youtube,88,66,Em andamento,
2026-06-01,Podcast/Vídeo,PythonCast,Python,Youtube,67,58,Em andamento,
2026-06-02,Curso,Power BI Completo,BI,Coursera,69,50,Concluído,4.0
2026-06-02,Curso,Power BI Completo,BI,Youtube,98,98,Em andamento,
2026-06-02,Curso,Comunicação,Soft Skills,Coursera,91,93,Em andamento,
2026-06-03,Podcast/Vídeo,Liderança na Prática,Soft Skills,Youtube,40,43,Em andamento,
2026-06-04,Curso,Scrum Essentials,Gestão de Projetos ou Produtos,Coursera,107,96,Em andamento,
2026-06-07,Curso,Scrum Essentials,Gestão de Projetos ou Produtos,Youtube,63,26,Em andamento,
2026-06-07,Podcast/Vídeo,PM Podcast,Gestão de Projetos ou Produtos,Spotify,22,95,Em andamento,
2026-06-07,Curso,Scrum Essentials,Gestão de Projetos ou Produtos,Coursera,89,24,Em andamento,
2026-06-08,Curso,SQL Avançado,SQL,Youtube,37,97,Em andamento,
2026-06-08,Livro,Automatizando com Python,Python,Livro Físico,84,22,Em andamento,
2026-06-09,Curso,Python para Dados,Python,Coursera,91,52,Em andamento,
2026-06-09,Curso,IA Generativa,Machine Learning/AI,Coursera,66,90,Concluído,
2026-06-10,Podcast/Vídeo,SQL Tips,SQL,Spotify,62,48,Em andamento,
2026-06-11,Livro,Automatizando com Python,Python,Livro Físico,107,45,Em andamento,
2026-06-11,Curso,SQL do Zero,SQL,Coursera,82,20,Em andamento,
2026-06-12,Curso,Comunicação,Soft Skills,Coursera,89,28,Em andamento,
2026-06-12,Podcast/Vídeo,PM Podcast,Gestão de Projetos ou Produtos,Youtube,36,30,Em andamento,
2026-06-12,Livro,Hands-On ML,Machine Learning/AI,Livro Físico,64,60,Em andamento,
2026-06-13,Podcast/Vídeo,PythonCast,Python,Spotify,58,23,Em andamento,
2026-06-15,Podcast/Vídeo,BI Talks,BI,Youtube,31,33,Em andamento,
2026-06-16,Curso,Power BI Completo,BI,Udemy,29,78,Em andamento,
2026-06-18,Curso,Scrum Essentials,Gestão de Projetos ou Produtos,Udemy,88,54,Em andamento,
2026-06-18,Curso,Python para Dados,Python,Youtube,115,57,Concluído,5.0
2026-06-18,Curso,Python para Dados,Python,Coursera,84,44,Em andamento,
2026-06-20,Podcast/Vídeo,PM Podcast,Gestão de Projetos ou Produtos,Spotify,91,15,Concluído,5.0
2026-06-20,Curso,ML Foundations,Machine Learning/AI,Youtube,24,17,Em andamento,
2026-06-21,Livro,Dashboard Design,BI,Livro Digital,66,80,Concluído,3.0
2026-06-21,Curso,SQL Avançado,SQL,Coursera,109,76,Em andamento,
2026-06-23,Curso,SQL Avançado,SQL,Youtube,102,7,Em andamento,
2026-06-23,Curso,Comunicação,Soft Skills,Youtube,58,8,Concluído,5.0
2026-06-24,Podcast/Vídeo,BI Talks,BI,Youtube,83,7,Em andamento,
2026-06-26,Livro,Dashboard Design,BI,Livro Digital,21,27,Em andamento,
2026-06-26,Curso,Comunicação,Soft Skills,Coursera,17,48,Em andamento,
2026-06-26,Livro,Comunicação Não Violenta,Soft Skills,Livro Digital,83,26,Em andamento,
